Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
0,0.846293,0.793612,0.733757,0.819465,0.913239,0.000000,0.000000,0.244550,0.599060,0.704293,0.778178,28.784811,41.894752,40.152837,0.923408,43.317113,
1,0.846211,0.789676,0.726532,0.828498,0.912100,11.233764,11.586428,0.237936,0.593208,0.699863,0.773956,28.682788,41.887939,40.081775,0.923373,53.877881,
2,0.845022,0.784633,0.700534,0.816010,0.925508,11.233764,11.233764,0.233614,0.587851,0.693210,0.768164,28.581391,41.855213,40.045700,0.919794,53.234291,
3,0.846938,0.791370,0.717154,0.830194,0.917292,11.335423,11.335423,0.228676,0.582576,0.689914,0.766203,28.477898,41.894130,40.240272,0.917309,53.584177,
4,0.831399,0.788228,0.714371,0.808513,0.898205,11.481227,11.481227,0.226203,0.578936,0.687488,0.766258,28.409287,41.779220,40.137205,0.914863,50.850066,
5,0.841191,0.792281,0.710898,0.822059,0.912289,11.538013,11.538013,0.219727,0.570498,0.681111,0.762995,28.134130,41.795412,40.123379,0.910760,52.521579,
6,0.839811,0.777580,0.718263,0.809836,0.916039,11.609962,11.609962,0.215431,0.565098,0.674482,0.751769,27.958299,41.777591,40.208211,0.908464,51.616265,
7,0.844798,0.788524,0.717866,0.798650,0.926314,11.702549,11.702549,0.212094,0.565245,0.676005,0.755180,27.849484,41.743465,40.039319,0.905641,52.866256,
8,0.825124,0.778510,0.716082,0.803506,0.892261,11.861131,11.861131,0.206647,0.558485,0.670567,0.751123,27.649564,41.645657,39.886834,0.901172,49.177043,
9,0.838326,0.776445,0.714202,0.807977,0.909632,12.070985,12.070985,0.201869,0.550029,0.663496,0.747013,27.461880,41.480351,39.902423,0.896288,51.536176,
10,0.839812,0.782598,0.711266,0.814147,0.914818,12.281108,12.281108,0.198900,0.546511,0.660575,0.743929,27.300243,41.399877,39.910172,0.892411,51.822514,
11,0.837085,0.777592,0.697189,0.818113,0.906975,12.598494,12.598494,0.196843,0.542288,0.656936,0.742293,27.134547,41.303694,39.678597,0.888772,51.512617,
12,0.836083,0.782409,0.699117,0.815767,0.912922,12.792534,12.792534,0.192549,0.538997,0.654320,0.740037,26.985127,41.290778,39.841628,0.886085,51.389519,
13,0.833497,0.774010,0.705204,0.817355,0.900607,12.887734,12.887734,0.189142,0.532214,0.648471,0.734370,26.862266,41.265106,39.675328,0.882847,50.690216,
14,0.829837,0.781298,0.704670,0.807596,0.903559,13.030536,13.030536,0.184873,0.526215,0.643810,0.731828,26.683240,41.086794,39.590511,0.879415,50.040197,
15,0.830335,0.772123,0.690770,0.806694,0.906299,13.109823,13.109823,0.182108,0.523507,0.641859,0.730875,26.542221,40.880822,39.472647,0.876877,50.165697,
16,0.832726,0.775443,0.692431,0.812175,0.910398,13.300842,13.300842,0.180046,0.519201,0.638312,0.727043,26.451268,40.780670,39.610454,0.874017,50.560464,
17,0.817481,0.772987,0.690522,0.799415,0.885922,13.339074,13.397558,0.177687,0.514790,0.632295,0.721513,26.268958,40.814884,39.324029,0.871091,47.541033,
18,0.825951,0.779327,0.696005,0.795148,0.902410,13.339074,13.339074,0.174799,0.511179,0.630006,0.719783,26.118169,40.597150,39.189081,0.868674,48.986057,
19,0.817662,0.770776,0.681836,0.795848,0.893273,13.625353,13.625353,0.174276,0.512688,0.632292,0.722134,26.059479,40.485155,39.255578,0.868281,47.909764,
